Date : 2023-01-17 17:05:12
Directory : /Users/xusun/Desktop/Flutter/offershow/lib
Total : 79 files,  2367 codes, 70 comments, 123 blanks, all 2560 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/crop/crop.dart                           | Dart     |         -1 |          1 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/essence/essence.dart                     | Dart     |         -1 |          1 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/explore/explore.dart                     | Dart     |         -1 |          1 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/home.dart                                | Dart     |         35 |         -1 |          6 |         40 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/home/homeNew.dart                        | Dart     |        137 |          1 |          4 |        142 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/hot/homeHot.dart                         | Dart     |         -1 |          1 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/hot/homeHotNoScaffold.dart               | Dart     |         -1 |          1 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/login/login.dart                         | Dart     |         -2 |          2 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/login/login_helper.dart                  | Dart     |         -1 |          1 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/me/me.dart                               | Dart     |         -1 |          1 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/me_func/me_func.dart                     | Dart     |          5 |          1 |          0 |          6 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/msg/msg.dart                             | Dart     |         -2 |          1 |          0 |         -1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/msg_detail/msg_detail.dart               | Dart     |         -7 |         -8 |          0 |        -15 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/msg_three/msg_three.dart                 | Dart     |         -1 |          1 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new/format.dart                          | Dart     |         34 |          0 |          3 |         37 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new/left_row_btn.dart                    | Dart     |         -9 |          0 |          0 |         -9 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new/new.dart                             | Dart     |         97 |          6 |          5 |        108 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new/right_row_btn.dart                   | Dart     |        -69 |          0 |          0 |        -69 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new/rule_page.dart                       | Dart     |         62 |          1 |          4 |         67 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new/rules.dart                           | Dart     |         30 |          0 |          1 |         31 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new_reply/homeNewReply.dart              | Dart     |         -1 |          1 |          0 |          0 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/draft.dart               | Dart     |         60 |          0 |          7 |         67 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/left_row_btn.dart        | Dart     |        239 |          3 |          6 |        248 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/new_transaction.dart     | Dart     |        662 |          3 |         27 |        692 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/right_row_btn.dart       | Dart     |         66 |          1 |          4 |         71 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/select_tag.dart          | Dart     |        152 |          0 |         12 |        164 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/success_display.dart     | Dart     |         90 |          0 |          4 |         94 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/new_transaction/vote_machine.dart        | Dart     |        153 |          0 |          4 |        157 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/person_detail/personDetail.dart          | Dart     |          4 |          1 |          0 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/personal/personal.dart                   | Dart     |         -3 |        -37 |          1 |        -39 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/photo_view/photo_view.dart               | Dart     |          4 |          1 |          1 |          6 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/question/answer.dart                     | Dart     |          1 |          0 |          0 |          1 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/question/question.dart                   | Dart     |         86 |          1 |          1 |         88 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/scan_qrcode/scan_qrcode.dart             | Dart     |         32 |         13 |          2 |         47 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/search/search.dart                       | Dart     |         30 |          8 |          3 |         41 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/setting/setting.dart                     | Dart     |         28 |        -17 |          0 |         11 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/square/square.dart                       | Dart     |          4 |          1 |          0 |          5 |
| /Users/xusun/Desktop/Flutter/offershow/lib/page/square/squareHome.dart                   | Dart     |         -1 |          1 |          0 |          0 |
