"filename", "language", "Dart", "XML", "JSON", "comment", "blank", "total"
"/Users/xusun/Desktop/Flutter/offershow/lib/page/broke.dart", "Dart", 24, 0, 0, 0, 3, 27
"/Users/xusun/Desktop/Flutter/offershow/lib/page/collection_detail/collection_detail.dart", "Dart", 552, 0, 0, 11, 14, 577
"/Users/xusun/Desktop/Flutter/offershow/lib/page/collection_tab/collection_tab.dart", "Dart", 371, 0, 0, 1, 15, 387
"/Users/xusun/Desktop/Flutter/offershow/lib/page/column/column.dart", "Dart", 621, 0, 0, 1, 24, 646
"/Users/xusun/Desktop/Flutter/offershow/lib/page/crop/crop.dart", "Dart", 329, 0, 0, 1, 15, 345
"/Users/xusun/Desktop/Flutter/offershow/lib/page/essence/essence.dart", "Dart", 178, 0, 0, 0, 11, 189
"/Users/xusun/Desktop/Flutter/offershow/lib/page/explore/explore.dart", "Dart", 153, 0, 0, 0, 14, 167
"/Users/xusun/Desktop/Flutter/offershow/lib/page/home.dart", "Dart", 300, 0, 0, 10, 15, 325
"/Users/xusun/Desktop/Flutter/offershow/lib/page/home/homeNew.dart", "Dart", 362, 0, 0, 2, 29, 393
"/Users/xusun/Desktop/Flutter/offershow/lib/page/home/myhome.dart", "Dart", 141, 0, 0, 0, 11, 152
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/homeHot.dart", "Dart", 103, 0, 0, 0, 9, 112
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/homeHotNoScaffold.dart", "Dart", 128, 0, 0, 1, 10, 139
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/img/1.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/img/10.svg", "XML", 0, 5, 0, 0, 1, 6
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/img/2.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/img/3.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/img/4.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/img/5.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/img/6.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/img/7.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/img/8.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/hot/img/9.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/page/login/login.dart", "Dart", 515, 0, 0, 1, 24, 540
"/Users/xusun/Desktop/Flutter/offershow/lib/page/login/login_helper.dart", "Dart", 185, 0, 0, 0, 13, 198
"/Users/xusun/Desktop/Flutter/offershow/lib/page/me/me.dart", "Dart", 584, 0, 0, 2, 30, 616
"/Users/xusun/Desktop/Flutter/offershow/lib/page/me_func/me_func.dart", "Dart", 479, 0, 0, 5, 23, 507
"/Users/xusun/Desktop/Flutter/offershow/lib/page/msg/msg.dart", "Dart", 385, 0, 0, 0, 15, 400
"/Users/xusun/Desktop/Flutter/offershow/lib/page/msg_detail/msg_detail.dart", "Dart", 1130, 0, 0, 12, 43, 1185
"/Users/xusun/Desktop/Flutter/offershow/lib/page/msg_three/1.svg", "XML", 0, 18, 0, 0, 1, 19
"/Users/xusun/Desktop/Flutter/offershow/lib/page/msg_three/2.svg", "XML", 0, 16, 0, 0, 1, 17
